"","hours"
"375",561
"376",2231
"377",3189
"378",3580
"379",362
"380",553
"381",1799
"382",590
"383",285
"384",323
"385",198
"386",863
"387",661
"388",2292
"389",849
"390",493
"391",1363
"392",945
"393",885
"394",199
"395",916
"396",523
"397",247
"398",3628
"399",263
"400",88
"401",301
"402",431
"403",4791
"404",449
"405",394
"406",1174
"407",84
"408",97
"409",198
"410",631
"411",392
"412",223
"413",60
"414",140
"415",696
"416",750
"417",239
"418",79
"419",117
"420",1404
"421",480
"422",3038
"423",309
"424",245
"425",192
"426",317
"427",627
"428",285
"429",684
"430",2015
"431",1041
"432",48
"433",447
"434",59
"435",549
"436",518
"437",308
"438",43
"439",2
"440",20
"441",1109
"442",120
"443",223
"444",54
"445",470
"446",564
"447",161
"448",71
"449",2446
"450",36
"451",1023
"452",384
"453",2705
"454",259
"455",2853
"456",913
"457",1466
"458",2197
"459",1863
"460",649
"461",2
"462",577
"463",1404
"464",684
"465",756
"466",601
"467",168
"468",25
"469",735
"470",89
"471",399
"472",1218
"473",63
"474",885
"475",219
"476",711
"477",393
"478",72
"479",1123
"480",235
"481",359
"482",1298
"483",218
"484",20
"485",440
"486",895
"487",141
"488",1595
"489",1043
"490",149
"491",636
"492",538
"493",187
"494",588
"495",181
"496",460
"497",405
"498",776
"499",1024
"500",525
"501",521
"502",265
"503",737
"504",1691
"505",5
"506",1300
"507",12
"508",658
"509",20
"510",156
"511",159
"512",107
"513",56
"514",46
"515",34
"516",701
"517",965
"518",3370
"519",422
"520",168
"521",308
"522",1555
"523",380
"524",1348
"525",533
"526",813
"527",273
"528",650
"529",2095
"530",751
"531",240
"532",94
"533",73
"534",1592
"535",268
"536",183
"537",1279
"538",319
"539",246
"540",2837
"541",693
"542",349
"543",15
"544",1205
"545",1594
"546",51
"547",132
"548",616
"549",814
"550",1928
"551",1098
"552",53
"553",2392
"554",911
"555",91
"556",280
"557",997
"558",604
"559",1803
"560",172
"561",548
"562",369
"563",217
"564",59
"565",16
"566",465
"567",385
"568",914
"569",647
"570",440
"571",613
"572",380
"573",105
"574",294
"575",420
"576",198
"577",425
"578",207
"579",1860
"580",142
"581",98
"582",500
"583",1080
"584",186
"585",177
"586",614
"587",500
"588",3498
"589",366
"590",767
"591",342
"592",847
"593",127
"594",215
"595",452
"596",495
"597",469
"598",619
"599",1427
"600",71
"601",1060
"602",603
"603",132
"604",2111
"605",462
"606",187
"607",164
"608",1480
"609",382
"610",200
"611",3070
"612",561
"613",444
"614",1054
"615",1371
"616",402
"617",1058
"618",1647
"619",75
"620",941
"621",449
"622",746
"623",227
"624",52
"625",1826
"626",2361
"627",266
"628",336
"629",4
"630",1194
"631",467
"632",207
"633",515
"634",1357
"635",181
"636",392
"637",124
"638",100
"639",541
"640",430
"641",2168
"642",329
"643",964
"644",135
"645",301
"646",1510
"647",1784
"648",515
"649",2356
"650",1342
"651",196
"652",509
"653",672
"654",892
"655",1014
"656",761
"657",1314
"658",53
"659",555
"660",1466
"661",1718
"662",1021
"663",1567
"664",824
"665",542
"666",335
"667",355
"668",1585
"669",3266
"670",2022
"671",2515
"672",1088
"673",1162
"674",422
"675",3772
"676",983
"677",1086
"678",825
"679",2894
"680",32
"681",68
"682",2306
"683",8
"684",16
"685",202
"686",349
"687",926
"688",2422
"689",471
"690",941
"691",690
"692",3873
"693",128
"694",120
"695",669
"696",377
"697",63
"698",35
"699",47
"700",61
"701",182
"702",565
"703",876
"704",528
"705",59
"706",42
"707",198
"708",2449
"709",2390
"710",95
"711",574
"712",524
"713",119
"714",776
"715",1227
"716",73
"717",131
"718",604
"719",89
"720",232
"721",680
"722",379
"723",1221
"724",63
"725",9
"726",844
"727",878
"728",779
"729",422
"730",2432
"731",211
"732",5
"733",79
"734",1776
"735",2898
"736",415
"737",3
"738",1406
"739",2280
"740",484
"741",178
"742",854
"743",566
"744",878
"745",841
"746",1217
"747",671
"748",1786
"749",115
"750",570
