,rain_mm
275211,0.0
275212,0.0
275213,0.0
275214,16.0
275215,0.0
275216,0.0
275217,13.0
275218,2.0
275219,0.0
275220,2.0
275221,22.0
275222,0.0
275223,0.0
275224,0.0
275225,0.0
275226,108.0
275227,0.0
275228,54.0
275229,0.0
275230,0.0
275231,0.0
275232,0.0
275233,0.0
275234,0.0
275235,0.0
275236,0.0
275237,25.0
275238,0.0
275239,45.0
275240,0.0
275241,0.0
275242,0.0
275243,0.0
275244,0.0
275245,0.0
275246,0.0
275247,33.0
275248,0.0
275249,0.0
275250,0.0
275251,0.0
275252,32.0
275253,0.0
275254,0.0
275255,0.0
275256,27.0
275257,10.0
275258,0.0
275259,24.0
275260,13.0
275261,0.0
275262,0.0
275263,13.0
275264,0.0
275265,0.0
275266,8.0
275267,0.0
275268,0.0
275269,0.0
275270,260.0
275271,0.0
275272,0.0
275273,0.0
275274,0.0
275275,0.0
275276,0.0
275277,0.0
275278,6.0
275279,0.0
275280,0.0
275281,0.0
275282,22.0
275283,0.0
275284,0.0
275285,0.0
275286,278.0
275287,0.0
275288,0.0
275289,35.0
275290,0.0
275291,0.0
275292,0.0
275293,0.0
275294,14.0
275295,0.0
275296,0.0
275297,0.0
275298,53.0
275299,0.0
275300,0.0
275301,0.0
275302,0.0
275303,0.0
275304,25.0
275305,0.0
275306,0.0
275307,0.0
275308,0.0
275309,0.0
275310,0.0
275311,0.0
275312,79.0
275313,0.0
275314,0.0
275315,21.0
275316,0.0
275317,0.0
275318,0.0
275319,6.0
275320,0.0
275321,38.0
275322,0.0
275323,0.0
275324,15.0
275325,0.0
275326,0.0
275327,0.0
275328,0.0
275329,0.0
275330,0.0
275331,0.0
275332,0.0
275333,5.0
275334,0.0
275335,0.0
275336,0.0
275337,0.0
275338,0.0
275339,0.0
275340,71.0
275341,0.0
275342,0.0
275343,0.0
275344,0.0
275345,0.0
275346,0.0
275347,0.0
275348,0.0
275349,0.0
275350,194.0
275351,0.0
275352,0.0
275353,0.0
275354,20.0
275355,0.0
275356,0.0
275357,0.0
275358,0.0
275359,0.0
275360,0.0
275361,0.0
275362,136.0
275363,0.0
275364,0.0
275365,0.0
275366,0.0
275367,0.0
275368,0.0
275369,0.0
275370,0.0
275371,0.0
275372,37.0
275373,0.0
275374,0.0
275375,2.0
275376,0.0
275377,0.0
275378,63.0
275379,0.0
275380,0.0
275381,0.0
275382,0.0
275383,0.0
275384,59.0
275385,0.0
275386,0.0
275388,52.0
275389,0.0
275390,0.0
275391,157.0
275392,196.0
275393,0.0
275394,0.0
275395,0.0
275396,47.0
275397,0.0
275398,0.0
275399,0.0
275400,0.0
275401,0.0
275402,74.0
275403,0.0
275404,83.0
275405,0.0
275406,15.0
275407,0.0
275408,0.0
275409,0.0
275410,0.0
275411,0.0
275412,0.0
275413,0.0
275414,0.0
275415,0.0
275416,10.0
275417,29.0
275418,9.0
275419,0.0
275420,0.0
275421,0.0
275422,0.0
275423,5.0
275424,0.0
275425,5.0
275426,0.0
275427,0.0
275428,0.0
275429,0.0
275430,20.0
275431,0.0
275432,0.0
275433,0.0
275434,29.0
275435,0.0
275436,0.0
275437,17.0
275438,0.0
275439,0.0
275440,0.0
275441,0.0
275442,0.0
275443,47.0
275444,0.0
275445,176.0
275446,0.0
275447,0.0
275448,132.0
275449,0.0
275450,0.0
275451,0.0
275452,0.0
275453,0.0
275454,97.0
275455,0.0
275456,0.0
275457,0.0
275458,0.0
275459,61.0
275460,0.0
275461,0.0
275462,228.0
275463,0.0
275464,88.0
275465,0.0
275466,0.0
275467,44.0
275468,0.0
275469,39.0
275470,0.0
275471,0.0
275472,0.0
275473,0.0
275474,0.0
275475,161.0
275476,0.0
275477,0.0
275478,0.0
275479,0.0
275480,0.0
275481,0.0
275482,0.0
275483,0.0
275484,0.0
275485,0.0
275486,0.0
275487,0.0
275488,0.0
275489,0.0
275490,0.0
275491,8.0
275492,0.0
275493,23.0
275494,0.0
275495,0.0
275496,0.0
275497,0.0
275498,0.0
275499,10.0
275500,50.0
275501,0.0
275502,0.0
275503,10.0
275504,0.0
275505,0.0
275506,41.0
275507,0.0
275508,0.0
275509,0.0
275510,0.0
275511,0.0
275512,0.0
275513,125.0
275514,8.0
275515,0.0
275516,0.0
275517,70.0
275518,0.0
275519,0.0
275520,0.0
275521,0.0
275522,187.0
275523,0.0
275524,0.0
275525,0.0
275526,0.0
275527,0.0
275528,0.0
275529,0.0
275530,16.0
275531,0.0
275532,0.0
275533,9.0
275534,0.0
275535,0.0
275536,5.0
275537,0.0
275538,0.0
275539,0.0
275540,7.0
275541,0.0
275542,0.0
275543,0.0
275544,32.0
275545,0.0
275546,0.0
275547,0.0
275548,0.0
275549,0.0
275550,0.0
275551,0.0
275552,0.0
275553,0.0
275554,0.0
275555,0.0
275556,0.0
275557,0.0
275558,0.0
275559,47.0
275560,0.0
275561,0.0
275562,138.0
275563,0.0
275564,33.0
275565,0.0
275566,0.0
275567,53.0
275568,0.0
275569,122.0
275570,0.0
275571,0.0
275572,11.0
275573,0.0
275574,3.0
275575,0.0
275576,10.0
275577,0.0
275578,0.0
275579,0.0
275580,13.0
275581,0.0
275582,0.0
275583,0.0
275584,0.0
275585,0.0
275586,0.0
275587,0.0
275588,0.0
275589,0.0
275590,16.0
275591,0.0
275592,0.0
275593,0.0
275594,0.0
275595,0.0
275596,0.0
275597,0.0
275598,0.0
275599,24.0
275600,0.0
275601,0.0
275602,82.0
275603,0.0
275604,0.0
275605,0.0
275606,7.0
275607,0.0
275608,0.0
275609,0.0
275610,0.0
275611,13.0
275612,0.0
275613,24.0
275614,0.0
275615,62.0
275616,0.0
275617,0.0
275618,0.0
275619,0.0
275620,0.0
275621,13.0
275622,0.0
275623,34.0
275624,0.0
275625,0.0
275626,0.0
275627,0.0
275628,2.0
275629,0.0
275630,4.0
275631,0.0
275632,0.0
275633,38.0
275634,8.0
275635,0.0
275636,0.0
275637,0.0
275638,0.0
275639,6.0
275640,0.0
275641,0.0
275642,0.0
275643,42.0
275644,0.0
275645,0.0
275646,0.0
275647,0.0
275648,0.0
275649,0.0
275650,61.0
275651,0.0
275652,0.0
275653,0.0
275654,0.0
275655,0.0
275656,0.0
275657,0.0
275658,0.0
275659,0.0
275660,0.0
275661,0.0
275662,0.0
275663,0.0
275664,0.0
275665,0.0
275666,0.0
275667,0.0
275668,0.0
275669,53.0
275670,0.0
275671,7.0
275672,0.0
275673,0.0
275674,0.0
275675,0.0
275676,25.0
275677,4.0
275678,15.0
275679,0.0
275680,0.0
275681,288.0
275682,0.0
275683,0.0
275684,0.0
275685,0.0
275686,0.0
275687,0.0
275688,0.0
275689,0.0
275690,0.0
275691,6.0
275692,0.0
275693,0.0
275694,0.0
275695,0.0
275696,59.0
275697,0.0
275698,0.0
275699,0.0
275700,116.0
275701,175.0
275702,0.0
275703,0.0
275704,0.0
275705,195.0
275706,0.0
275707,0.0
275708,0.0
275709,0.0
275710,0.0
275711,0.0
275712,0.0
275713,0.0
275714,0.0
275715,0.0
275716,248.0
275717,41.0
275718,0.0
275719,0.0
275720,0.0
275721,0.0
275722,59.0
275723,0.0
275724,0.0
275725,44.0
275726,0.0
275727,0.0
275728,368.0
275729,0.0
275730,0.0
275731,0.0
275732,100.0
275733,0.0
275734,0.0
275735,2.0
275736,17.0
275737,0.0
275738,0.0
275739,29.0
275740,0.0
275741,0.0
275742,0.0
275743,35.0
275744,0.0
275745,7.0
275746,0.0
275747,10.0
275748,0.0
275749,0.0
275750,0.0
275751,0.0
275752,9.0
275753,0.0
275754,63.0
275755,0.0
275756,0.0
275757,0.0
275758,0.0
275759,0.0
275760,0.0
275761,0.0
275762,65.0
275763,0.0
275764,94.0
275765,0.0
275766,0.0
275767,0.0
275768,0.0
275769,0.0
275770,0.0
275771,0.0
275772,0.0
275773,0.0
275774,0.0
275775,0.0
275776,0.0
275777,37.0
275778,0.0
275779,301.0
275780,0.0
275781,2.0
275782,0.0
275783,0.0
275784,0.0
275785,0.0
275786,0.0
275787,0.0
275788,0.0
275789,0.0
275790,67.0
275791,0.0
275792,29.0
275793,0.0
275794,105.0
275795,0.0
275796,8.0
275797,0.0
275798,0.0
275799,60.0
275800,0.0
275801,0.0
275802,20.0
275803,0.0
275804,0.0
275805,23.0
275806,0.0
275807,0.0
275808,0.0
275809,95.0
275810,0.0
275811,0.0
275812,17.0
275813,0.0
275814,0.0
275815,0.0
275816,25.0
275817,0.0
275818,14.0
275819,0.0
275820,0.0
275821,0.0
275822,82.0
275823,0.0
275824,0.0
275825,0.0
275826,0.0
275827,0.0
275828,0.0
275829,0.0
275830,0.0
275831,0.0
275832,0.0
275833,0.0
275834,0.0
275835,0.0
275836,0.0
275837,0.0
275838,0.0
275839,0.0
275840,0.0
275841,0.0
275842,0.0
275843,0.0
275844,60.0
275845,0.0
275846,0.0
275847,12.0
275848,0.0
275849,0.0
275850,108.0
275851,0.0
275852,0.0
275853,0.0
275854,0.0
275855,0.0
275856,123.0
275857,0.0
275858,28.0
275859,0.0
275860,0.0
275861,0.0
275862,0.0
275863,0.0
275864,0.0
275865,0.0
275866,0.0
275867,11.0
275868,3.0
275869,0.0
275870,27.0
275871,0.0
275872,2.0
275873,0.0
275874,0.0
275875,4.0
275876,36.0
275877,0.0
275878,0.0
275879,0.0
275880,0.0
275881,0.0
275882,159.0
275883,39.0
275884,0.0
275885,0.0
275886,0.0
275887,205.0
275888,0.0
275889,32.0
275890,0.0
275891,0.0
275892,0.0
275893,0.0
275894,0.0
275895,41.0
275896,0.0
275897,0.0
275898,6.0
275899,0.0
275900,0.0
275901,25.0
275902,0.0
275903,8.0
275904,0.0
275905,0.0
275906,0.0
275907,0.0
275908,0.0
275909,0.0
275910,0.0
275911,0.0
275912,5.0
275913,0.0
275914,0.0
275915,89.0
275916,18.0
275917,0.0
275918,120.0
275919,0.0
275920,0.0
275921,40.0
275922,0.0
275923,0.0
275924,0.0
275925,31.0
275926,0.0
275927,0.0
275928,0.0
275929,20.0
275930,40.0
275931,0.0
275932,0.0
275933,0.0
275934,32.0
275935,0.0
275936,0.0
275937,11.0
275938,16.0
275939,0.0
275940,6.0
275941,0.0
275942,0.0
275943,0.0
275944,0.0
275945,0.0
275946,0.0
275947,0.0
275948,0.0
275949,0.0
275950,0.0
275951,0.0
275952,0.0
275953,0.0
275954,0.0
275955,0.0
275956,0.0
275957,0.0
275958,0.0
275959,36.0
275960,0.0
275961,0.0
275962,146.0
275963,0.0
275964,2.0
275965,6.0
275966,0.0
275967,0.0
275968,75.0
275969,0.0
275970,41.0
275971,0.0
275972,0.0
275973,86.0
275974,0.0
275975,0.0
275976,0.0
275977,26.0
275978,0.0
275979,0.0
275980,53.0
275981,0.0
275982,0.0
275983,0.0
275984,0.0
275985,0.0
275986,0.0
275987,0.0
275988,0.0
275989,0.0
275990,0.0
275991,0.0
275992,23.0
275993,0.0
275994,46.0
275995,0.0
275996,0.0
275997,5.0
275998,0.0
275999,0.0
276000,0.0
276001,0.0
276002,83.0
276003,0.0
276004,0.0
276005,0.0
276006,0.0
276007,79.0
276008,0.0
276009,0.0
276010,0.0
276011,0.0
276012,0.0
276013,121.0
276014,0.0
276015,0.0
276016,0.0
276017,0.0
276018,0.0
276019,0.0
276020,0.0
276021,0.0
276022,0.0
276023,19.0
276024,0.0
276025,0.0
276026,70.0
276027,0.0
276028,0.0
276029,0.0
276030,0.0
276031,0.0
276032,0.0
276033,0.0
276034,0.0
276035,0.0
276036,56.0
276037,6.0
276038,17.0
276039,0.0
276040,0.0
276041,0.0
276042,0.0
276043,0.0
276044,17.0
276045,0.0
276046,0.0
276047,0.0
276048,0.0
276049,0.0
276050,0.0
276051,0.0
276052,0.0
276053,103.0
276054,0.0
276055,0.0
276056,14.0
276057,0.0
276058,0.0
276059,0.0
276060,0.0
276061,0.0
276062,0.0
276063,0.0
276064,25.0
276065,0.0
276066,0.0
276067,0.0
276068,0.0
276069,0.0
276070,509.0
276071,0.0
276072,0.0
276073,0.0
276074,0.0
276075,0.0
276076,0.0
276077,0.0
276078,0.0
276079,0.0
276080,0.0
276081,0.0
276082,0.0
276083,0.0
276084,0.0
276085,0.0
276086,0.0
276087,127.0
276088,92.0
276089,88.0
276090,0.0
276091,0.0
276092,0.0
276093,0.0
276094,0.0
276095,0.0
276096,0.0
276097,5.0
276098,0.0
276099,0.0
276100,0.0
276101,0.0
276102,50.0
276103,0.0
276104,72.0
276105,0.0
276106,0.0
276107,85.0
276108,49.0
276109,0.0
276110,0.0
276111,14.0
276112,4.0
276113,0.0
276114,114.0
276115,0.0
276116,0.0
276117,0.0
276118,42.0
276120,63.0
276124,0.0
276128,92.0
276133,6.0
276149,0.0
276150,0.0
276151,0.0
276152,0.0
276153,0.0
276154,0.0
276155,0.0
276156,20.0
276157,0.0
276158,130.0
276159,0.0
276160,0.0
276161,0.0
276162,0.0
276163,0.0
276164,0.0
276165,0.0
276166,0.0
276167,0.0
276168,20.0
276169,0.0
276170,0.0
276171,0.0
276172,0.0
276173,136.0
276174,2.0
276175,0.0
276176,0.0
276177,0.0
276178,0.0
276179,0.0
276180,63.0
276181,0.0
276182,0.0
276183,0.0
276184,0.0
276185,0.0
276186,236.0
276187,0.0
276188,0.0
276189,40.0
276190,0.0
276191,0.0
276192,0.0
276193,76.0
276194,0.0
276195,5.0
276196,0.0
276197,0.0
276198,23.0
276199,0.0
276200,0.0
276201,0.0
276202,0.0
276203,0.0
276204,0.0
276205,0.0
276206,0.0
276207,0.0
276208,82.0
276209,60.0
276210,0.0
276211,0.0
276212,0.0
276213,0.0
276214,63.0
276215,0.0
276216,0.0
276217,0.0
276218,0.0
276219,55.0
276220,0.0
276221,0.0
276222,0.0
276223,120.0
276224,26.0
276225,0.0
276226,28.0
276227,0.0
276228,0.0
276229,0.0
276230,0.0
276231,22.0
276232,0.0
276233,0.0
276234,0.0
276235,0.0
276236,0.0
276237,123.0
276238,0.0
276239,0.0
276240,72.0
276241,0.0
276242,0.0
276243,0.0
276244,0.0
276245,0.0
276246,7.0
276247,0.0
276248,0.0
276249,0.0
276250,0.0
276251,0.0
276252,0.0
276253,0.0
276254,0.0
276255,14.0
276256,0.0
276257,0.0
276258,0.0
276259,0.0
276260,37.0
276261,0.0
276262,0.0
276263,0.0
276264,0.0
276265,0.0
276266,0.0
276267,0.0
276268,0.0
276269,0.0
276270,0.0
276271,0.0
276272,0.0
276273,33.0
276274,0.0
276275,0.0
276276,0.0
276277,0.0
276278,0.0
276279,0.0
276280,0.0
276281,0.0
276282,0.0
276283,0.0
276284,0.0
276285,0.0
276286,0.0
276287,70.0
276288,0.0
276289,63.0
276290,0.0
276291,0.0
276292,0.0
276293,0.0
276294,33.0
276295,0.0
276296,0.0
276297,88.0
276298,0.0
276299,35.0
276300,0.0
276301,0.0
276302,0.0
276303,0.0
276304,0.0
276305,0.0
276306,0.0
276307,0.0
276308,95.0
276309,104.0
276310,0.0
276311,3.0
276312,0.0
276313,0.0
276314,140.0
276315,0.0
276316,0.0
276317,0.0
276318,0.0
276319,0.0
276320,0.0
276321,0.0
276322,0.0
276323,0.0
276324,0.0
276325,0.0
276326,0.0
276327,79.0
276328,0.0
276329,0.0
276330,0.0
276331,0.0
276332,0.0
276333,0.0
276334,22.0
276335,0.0
276336,0.0
276337,13.0
276338,0.0
276339,0.0
276340,6.0
276341,0.0
276342,4.0
276343,0.0
276344,0.0
276345,15.0
276346,0.0
276347,0.0
276348,0.0
276349,0.0
276350,14.0
276351,0.0
276352,12.0
276353,0.0
276354,32.0
276355,0.0
276356,0.0
276357,0.0
276358,27.0
276359,8.0
276360,0.0
276361,0.0
276362,88.0
276363,0.0
276364,0.0
276365,73.0
276366,39.0
276367,0.0
276368,0.0
276369,0.0
276370,0.0
276371,0.0
276372,43.0
276373,0.0
276374,15.0
276375,0.0
276376,0.0
276377,2.0
276378,31.0
276379,0.0
276380,0.0
276381,0.0
276382,9.0
276383,12.0
276384,25.0
276385,0.0
276386,0.0
276387,0.0
276388,0.0
276389,0.0
276390,0.0
276391,0.0
276392,0.0
276393,0.0
276394,97.0
276395,0.0
276396,0.0
276397,64.0
276398,0.0
276399,0.0
276400,0.0
276401,374.0
276402,0.0
276403,0.0
276404,0.0
276405,5.0
276406,62.0
276407,0.0
276408,32.0
276409,0.0
276410,186.0
276411,0.0
276412,0.0
276413,24.0
276414,0.0
276415,0.0
276416,0.0
276417,0.0
276418,0.0
276419,0.0
276420,0.0
276421,77.0
276422,0.0
276423,0.0
276424,6.0
276425,0.0
276426,0.0
276427,85.0
276428,0.0
276429,0.0
276430,0.0
276431,0.0
276432,0.0
276433,0.0
276434,75.0
276435,0.0
276436,58.0
276437,0.0
276438,0.0
276439,0.0
276440,0.0
276441,0.0
276442,0.0
276443,0.0
276444,0.0
276445,112.0
276446,0.0
276447,0.0
276448,0.0
276449,0.0
276450,0.0
276451,0.0
276452,0.0
276453,0.0
276454,0.0
276455,0.0
276456,0.0
276457,0.0
276458,130.0
276459,0.0
276460,71.0
276461,0.0
276462,0.0
276463,15.0
276464,5.0
276465,0.0
276466,17.0
276467,0.0
276468,0.0
276469,0.0
276470,0.0
276471,0.0
276472,0.0
276473,0.0
276474,60.0
276475,0.0
276476,0.0
276477,0.0
276478,7.0
276479,0.0
276480,0.0
276481,0.0
276482,82.0
276483,0.0
276484,0.0
276485,0.0
276486,0.0
276487,0.0
276488,0.0
276489,0.0
276490,0.0
276491,82.0
276492,0.0
276493,0.0
276494,0.0
276495,0.0
276496,0.0
276497,0.0
276498,125.0
276499,0.0
276500,9.0
276501,0.0
276502,0.0
276503,0.0
276504,0.0
276505,114.0
276506,0.0
276507,0.0
276508,0.0
276509,0.0
276510,0.0
276511,0.0
276512,0.0
276513,0.0
276514,0.0
276515,0.0
276516,0.0
276517,0.0
276518,105.0
276519,0.0
276520,0.0
276521,0.0
276522,0.0
276523,0.0
276524,2.0
276525,0.0
276526,0.0
276527,0.0
276528,0.0
276529,0.0
276530,0.0
276531,75.0
276532,0.0
276533,0.0
276534,90.0
276535,0.0
276536,11.0
276537,0.0
276538,0.0
276539,0.0
276540,0.0
276541,140.0
276542,0.0
276543,0.0
276544,0.0
276545,0.0
276546,0.0
276547,0.0
276548,0.0
276549,0.0
276550,0.0
276551,83.0
276552,0.0
276553,8.0
276554,0.0
276555,0.0
276556,0.0
276557,100.0
276558,0.0
276559,0.0
276560,8.0
276561,0.0
276562,0.0
276563,0.0
276564,0.0
276565,25.0
276566,0.0
276567,76.0
276568,0.0
276569,0.0
276570,0.0
276571,0.0
276572,0.0
276573,0.0
276574,0.0
276575,22.0
276576,0.0
276577,34.0
276578,0.0
276579,0.0
276580,0.0
276581,0.0
276582,14.0
276583,0.0
276584,12.0
276585,0.0
276586,47.0
276587,0.0
276588,0.0
276589,0.0
276590,0.0
276591,0.0
276592,0.0
276593,85.0
276594,0.0
276595,0.0
276596,80.0
276597,0.0
276598,0.0
276599,0.0
276600,0.0
276601,0.0
276602,0.0
276603,0.0
276604,0.0
276605,0.0
276606,0.0
276607,0.0
276608,0.0
276609,77.0
276610,0.0
276611,12.0
276612,223.0
276613,0.0
276614,19.0
276615,0.0
276616,0.0
276617,7.0
276618,61.0
276619,0.0
276620,12.0
276621,0.0
276622,0.0
276623,0.0
276624,0.0
276625,0.0
276626,0.0
276627,0.0
276628,0.0
276629,3.0
276630,0.0
276631,6.0
276632,8.0
276633,0.0
276634,0.0
276635,0.0
276636,0.0
276637,180.0
276638,0.0
276639,0.0
276640,0.0
276641,0.0
276642,0.0
276643,18.0
276644,0.0
276645,0.0
276646,69.0
276647,0.0
276648,15.0
276649,17.0
276650,0.0
276651,0.0
276652,0.0
276653,0.0
276654,12.0
276655,0.0
276656,0.0
276657,0.0
276658,70.0
276659,0.0
276660,0.0
276661,0.0
276662,0.0
276663,0.0
276664,116.0
276665,0.0
276666,0.0
276667,0.0
276668,0.0
276669,0.0
276670,13.0
276671,0.0
276672,0.0
276673,0.0
276674,79.0
276675,0.0
276676,7.0
276677,0.0
276678,35.0
276679,0.0
276680,0.0
276681,0.0
276682,0.0
276683,0.0
276684,83.0
276685,0.0
276686,0.0
276687,0.0
276688,0.0
276689,0.0
276690,0.0
276691,0.0
276692,0.0
276693,0.0
276694,108.0
276695,0.0
276696,0.0
276697,0.0
276698,0.0
276699,0.0
276700,0.0
276701,0.0
276702,0.0
276703,0.0
276704,0.0
276705,20.0
276706,0.0
276707,0.0
276708,120.0
276709,0.0
276710,0.0
276711,0.0
276712,0.0
276713,45.0
276714,0.0
276715,6.0
276716,127.0
276717,0.0
276718,54.0
276719,0.0
276720,0.0
276721,0.0
276722,0.0
276723,193.0
276724,0.0
276725,4.0
276726,0.0
276727,0.0
276728,0.0
276729,0.0
276730,50.0
276731,0.0
276732,0.0
276733,0.0
276734,0.0
276735,0.0
276736,6.0
276737,0.0
276738,0.0
276739,0.0
276740,0.0
276741,64.0
276742,0.0
276743,91.0
276744,0.0
276745,0.0
276746,0.0
276747,27.0
276748,0.0
276749,177.0
276750,0.0
276751,0.0
276752,0.0
276753,0.0
276754,0.0
276755,0.0
276756,0.0
276757,0.0
276758,153.0
276759,0.0
276760,0.0
276761,0.0
276762,0.0
276763,0.0
276764,0.0
276765,0.0
276766,0.0
276767,0.0
276768,0.0
276769,4.0
276770,0.0
276771,0.0
276772,0.0
276773,39.0
276774,0.0
276775,0.0
276776,33.0
276777,0.0
276778,0.0
276779,0.0
276780,47.0
276781,0.0
276782,14.0
276783,0.0
276784,0.0
276785,0.0
276786,0.0
276787,0.0
276788,0.0
276789,0.0
276790,0.0
276791,0.0
276792,0.0
276793,0.0
276794,0.0
276795,0.0
276796,0.0
276797,0.0
276798,42.0
276799,0.0
276800,0.0
276801,0.0
276802,0.0
276803,0.0
276804,0.0
276805,0.0
276806,0.0
276807,55.0
276808,0.0
276809,0.0
276810,0.0
276811,11.0
276812,0.0
276813,0.0
276814,0.0
276815,5.0
276816,0.0
276817,0.0
276818,0.0
276819,0.0
276820,331.0
276821,0.0
276822,4.0
276823,0.0
276824,0.0
276825,0.0
276826,87.0
276827,0.0
276828,0.0
276829,182.0
276830,0.0
276831,0.0
276832,10.0
276833,0.0
276834,31.0
276835,0.0
276836,0.0
276837,23.0
276838,0.0
276839,0.0
276840,41.0
276841,0.0
276842,0.0
276843,0.0
276844,85.0
276845,0.0
276846,22.0
276847,0.0
276848,0.0
276849,0.0
276850,0.0
276851,0.0
276852,56.0
276853,0.0
276854,0.0
276855,17.0
276856,0.0
276857,0.0
276858,4.0
276859,60.0
276860,0.0
276861,0.0
276862,222.0
276863,0.0
276864,2.0
276865,0.0
276866,0.0
276867,0.0
276868,25.0
276869,0.0
276870,0.0
276871,0.0
276872,0.0
276873,35.0
276874,0.0
276875,0.0
276876,0.0
276877,14.0
276878,23.0
276879,23.0
276880,0.0
276881,0.0
276882,0.0
276883,12.0
276884,0.0
276885,43.0
276886,0.0
276887,0.0
276888,0.0
276889,0.0
276890,0.0
276891,8.0
276892,0.0
276893,36.0
276894,0.0
276895,0.0
276896,0.0
276897,0.0
276898,108.0
276899,0.0
276900,0.0
276901,130.0
276902,0.0
276903,0.0
276904,62.0
276905,0.0
276906,0.0
276907,0.0
276908,0.0
276909,192.0
276910,20.0
276911,0.0
276912,0.0
276913,0.0
276914,0.0
276915,26.0
276916,0.0
276917,0.0
276918,0.0
276919,0.0
276920,0.0
276921,0.0
276922,0.0
276923,0.0
276924,0.0
276925,40.0
276926,0.0
276927,0.0
276928,0.0
276929,9.0
276930,400.0
276931,100.0
276932,12.0
276933,0.0
276934,0.0
276935,0.0
276936,0.0
276937,0.0
276938,0.0
276939,0.0
276940,29.0
276941,0.0
276942,60.0
276943,0.0
276944,0.0
276945,0.0
276946,0.0
276947,0.0
276948,0.0
276949,0.0
276950,6.0
276951,0.0
276952,0.0
276953,0.0
276954,8.0
276955,0.0
276956,46.0
276957,2.0
276958,0.0
276959,0.0
276960,37.0
276961,0.0
276962,0.0
276963,0.0
276964,0.0
276965,0.0
276966,0.0
276967,55.0
276968,63.0
276969,0.0
276970,14.0
276971,0.0
276972,0.0
276973,0.0
276974,53.0
276975,0.0
276976,0.0
276977,0.0
276978,0.0
276979,27.0
276980,0.0
276981,0.0
276982,0.0
276983,0.0
276984,32.0
276985,0.0
276986,0.0
276987,0.0
276988,48.0
276989,0.0
276990,0.0
276991,5.0
276992,362.0
276993,0.0
276994,25.0
276995,0.0
276996,0.0
276997,134.0
276998,0.0
276999,0.0
277000,0.0
277001,0.0
277002,12.0
277003,0.0
277004,44.0
277005,2.0
277006,21.0
277007,0.0
277008,0.0
277009,0.0
277010,0.0
277011,0.0
277012,0.0
277013,0.0
277014,0.0
277015,79.0
277016,0.0
277017,0.0
277018,8.0
277019,0.0
277020,0.0
277021,0.0
277022,0.0
277023,0.0
277024,0.0
277025,0.0
277026,309.0
277027,0.0
277028,2.0
277029,2.0
277030,3.0
277031,7.0
277032,0.0
277033,0.0
277034,43.0
277035,0.0
277036,0.0
277037,0.0
277038,0.0
277039,0.0
277040,0.0
277041,0.0
277042,0.0
277043,66.0
277044,0.0
277045,0.0
277046,0.0
277047,0.0
277048,0.0
277049,0.0
277050,31.0
277051,0.0
277052,0.0
277053,0.0
277054,0.0
277055,0.0
277056,0.0
277057,0.0
277058,5.0
277059,0.0
277060,0.0
277061,0.0
277062,0.0
277063,79.0
277064,0.0
277065,0.0
277066,0.0
277067,0.0
277068,11.0
277069,0.0
277070,0.0
277071,0.0
277072,508.0
277073,0.0
277074,0.0
277075,0.0
277076,0.0
277077,0.0
277078,59.0
277079,0.0
