"","gap"
"399",0.024992
"400",0.069514
"401",0.022154
"402",0.076946
"403",0.248248
"404",0.175869
"405",0.043128
"406",0.114576
"407",0.095862
"408",0.024689
"409",0.012093
"410",0.115465
"411",0.133623
"412",0.461759
"413",0.204234
"414",0.090207
"415",0.015378
"416",0.072303
"417",0.029355
"418",0.047894
"419",0.049518
"420",0.076352
"421",0.002018
"422",0.278152
"423",0.045629
"424",0.183066
"425",0.081996
"426",0.517337
"427",0.066711
"428",0.023266
"429",0.028019
"430",0.04935
"431",0.005601
"432",0.009895
"433",0.019725
"434",0.071846
"435",0.208883
"436",0.016151
"437",0.010191
"438",0.034121
"439",0.378013
"440",0.01619
"441",0.046145
"442",0.166005
"443",0.089413
"444",0.011976
"445",0.061428
"446",0.164042
"447",0.102695
"448",0.023834
"449",0.020047
"450",0.080691
"451",0.046113
"452",0.02633
"453",0.000367
"454",0.013638
"455",0.019234
"456",0.018396
"457",0.058073
"458",0.087528
"459",0.000536
"460",0.227399
"461",0.182328
"462",0.111547
"463",0.035308
"464",0.06765
"465",0.077391
"466",0.017947
"467",0.056059
"468",0.001589
"469",0.110071
"470",0.173006
"471",0.030443
"472",0.033325
"473",0.014753
"474",0.033331
"475",0.058133
"476",0.044679
"477",0.076051
"478",0.090632
"479",0.070881
"480",0.14532
"481",0.057304
"482",0.012589
"483",0.005666
"484",0.077788
"485",0.093647
"486",0.228079
"487",0.103953
"488",0.05943
"489",0.041546
"490",0.061623
"491",0.00618
"492",0.096395
"493",0.073886
"494",0.078293
"495",0.160324
"496",0.231384
"497",0.118201
"498",0.022578
"499",0.072976
"500",0.065454
"501",0.108058
"502",0.016245
"503",0.000544
"504",0.127668
"505",0.04238
"506",0.073644
"507",0.028278
"508",0.01651
"509",0.044119
"510",0.077052
"511",0.019259
"512",0.524635
"513",0.058069
"514",0.107539
"515",0.080502
"516",0.239726
"517",0.043356
"518",0.032322
"519",0.190008
"520",0.119995
"521",0.027196
"522",0.121002
"523",0.043448
"524",0.063045
"525",0.32716
"526",0.111833
"527",0.028937
"528",0.095838
"529",0.173295
"530",0.02761
"531",0.000235
"532",0.06195
"533",0.156442
"534",0.033572
"535",0.05759
"536",0.099334
"537",0.022369
"538",0.104073
"539",0.113615
"540",0.083518
"541",0.136143
"542",0.037575
"543",0.120515
"544",0.055176
"545",0.021559
"546",0.017171
"547",0.05438
"548",0.06551
"549",0.107379
"550",0.184762
"551",0.13291
"552",0.03736
"553",0.016854
"554",0.132743
"555",0.102993
"556",0.34605
"557",0.101207
"558",0.191549
"559",0.052605
"560",0.094738
"561",0.053403
"562",1.6e-05
"563",0.01342
"564",0.020285
"565",0.087954
"566",0.107647
"567",0.032724
"568",0.250959
"569",0.001308
"570",0.014645
"571",0.104628
"572",0.109272
"573",0.035206
"574",0.124035
"575",0.08146
"576",0.00461
"577",0.066957
"578",0.096409
"579",0.043177
"580",0.042362
"581",0.016505
"582",0.080056
"583",0.029409
"584",0.049112
"585",0.112419
"586",0.055881
"587",0.011465
"588",0.066274
"589",0.084031
"590",0.047327
"591",0.076724
"592",0.008351
"593",0.128699
"594",0.010988
"595",0.017562
"596",0.035565
"597",0.037297
"598",0.112228
"599",0.192497
"600",0.028675
"601",0.05481
"602",0.0596
"603",0.119204
"604",0.106128
"605",0.022956
"606",0.210875
"607",0.367551
"608",0.039429
"609",0.130569
"610",0.022673
"611",0.0112
"612",0.006258
"613",0.513402
"614",0.063552
"615",0.119536
"616",0.193794
"617",0.173127
"618",0.003034
"619",0.128788
"620",0.018114
"621",0.210197
"622",0.191021
"623",0.153406
"624",0.042165
"625",0.076183
"626",0.232372
"627",0.013477
"628",0.014712
"629",0.065008
"630",0.046285
"631",0.032011
"632",0.021086
"633",0.103925
"634",0.016357
"635",0.160475
"636",0.057861
"637",0.080201
"638",0.099116
"639",0.024527
"640",0.011475
"641",0.08643
"642",0.0103
"643",0.116175
"644",0.028679
"645",0.000783
"646",0.007455
"647",0.104905
"648",0.063266
"649",0.100135
"650",0.022242
"651",0.066619
"652",0.001878
"653",0.009706
"654",0.002416
"655",0.085069
"656",0.020518
"657",0.209996
"658",0.078733
"659",0.029483
"660",0.053763
"661",0.04938
"662",0.082797
"663",0.208581
"664",0.038167
"665",0.028027
"666",0.012883
"667",0.025633
"668",0.021694
"669",0.01821
"670",0.212206
"671",0.117085
"672",0.095153
"673",0.074108
"674",0.042047
"675",0.023919
"676",0.012206
"677",0.006038
"678",0.138877
"679",0.059151
"680",0.028725
"681",0.03053
"682",0.044704
"683",0.09922
"684",0.283247
"685",0.153105
"686",0.029273
"687",0.152027
"688",0.009315
"689",0.088452
"690",0.155879
"691",0.007053
"692",0.0434
"693",0.194305
"694",0.196322
"695",0.0057
"696",0.149154
"697",0.024188
"698",0.195852
"699",0.080937
"700",0.08072
"701",0.043786
"702",0.034832
"703",0.015385
"704",0.039054
"705",0.048277
"706",0.046282
"707",0.008982
"708",0.02729
"709",0.012666
"710",0.007447
"711",0.018183
"712",0.033912
"713",0.019796
"714",0.071856
"715",0.031456
"716",0.062398
"717",0.023761
"718",0.135814
"719",0.107338
"720",0.11597
"721",0.084981
"722",0.134679
"723",0.049309
"724",0.006488
"725",0.021921
"726",0.211235
"727",0.084782
"728",0.017154
"729",0.05066
"730",0.082131
"731",0.021312
"732",0.048937
"733",0.245331
"734",0.026895
"735",0.108759
"736",0.024959
"737",0.024281
"738",0.011305
"739",0.084969
"740",0.01756
"741",0.005471
"742",0.06441
"743",0.234471
"744",0.117406
"745",0.145948
"746",0.048734
"747",0.008962
"748",0.231584
"749",0.027683
"750",0.126251
"751",0.017116
"752",0.006884
"753",0.077367
"754",0.104589
"755",0.120403
"756",0.005638
"757",0.070478
"758",0.17268
"759",0.444495
"760",0.036123
"761",0.237033
"762",0.010593
"763",0.013181
"764",0.12361
"765",0.029023
"766",0.121162
"767",0.124293
"768",0.07931
"769",0.04715
"770",0.058919
"771",0.043203
"772",0.004157
"773",0.247696
"774",0.197696
"775",0.077848
"776",0.225302
"777",0.102892
"778",0.001955
"779",0.366457
"780",0.072667
"781",0.216264
"782",0.041757
"783",0.137568
"784",0.022236
"785",0.122446
"786",0.013145
"787",0.074302
"788",0.024437
"789",0.007562
"790",0.102368
"791",0.107652
"792",0.054797
"793",0.009081
"794",0.0031
"795",0.177566
"796",0.16335
"797",0.092409
"798",0.115686
"799",0.020768
"800",0.065774
"801",0.042059
"802",0.078391
"803",0.115092
"804",0.004979
"805",0.156105
"806",0.134783
"807",0.064637
"808",0.129759
"809",0.079759
"810",0.102129
"811",0.033235
"812",0.030172
"813",0.309837
"814",0.019756
"815",0.035697
"816",0.00303
"817",0.265347
"818",0.015301
"819",0.21358
"820",0.195724
"821",0.02253
"822",0.003514
"823",0.070054
"824",0.047279
"825",0.638164
"826",0.095508
"827",0.146817
"828",0.005766
"829",0.042165
"830",0.002707
"831",0.094388
"832",0.070324
"833",0.089845
"834",0.041779
"835",0.031933
"836",0.104894
"837",0.301249
"838",0.002191
"839",0.164925
"840",0.052519
"841",0.097151
"842",0.032922
"843",0.224764
"844",0.116719
"845",0.001685
"846",0.112621
"847",0.145137
"848",0.063232
"849",0.023021
"850",0.09276
"851",0.021692
"852",0.010835
"853",0.063914
"854",0.324154
"855",0.050363
"856",0.154171
"857",0.044257
"858",0.222276
"859",0.195372
"860",0.092455
"861",0.016402
"862",0.003001
"863",0.01762
"864",0.082199
"865",0.024841
"866",0.016769
"867",0.165317
"868",0.051966
"869",0.004616
"870",0.027885
"871",0.064568
"872",0.002609
"873",0.025576
"874",0.000693
"875",0.035012
"876",0.05119
"877",0.038789
"878",0.00941
"879",0.19011
"880",0.25179
"881",0.124645
"882",0.030486
"883",0.007491
"884",0.058205
"885",0.193672
"886",0.065423
"887",0.100474
"888",0.097619
"889",0.21029
"890",0.039575
"891",0.104269
"892",0.048414
"893",0.29447
"894",0.010322
"895",0.066732
"896",0.021585
"897",0.198045
"898",0.010917
"899",0.376372
"900",0.056634
"901",0.322912
"902",0.015286
"903",0.086325
"904",0.037681
"905",0.034538
"906",0.006849
"907",0.17822
"908",0.206533
"909",0.300828
"910",0.015233
"911",0.003172
"912",0.028978
"913",0.025217
"914",0.11698
"915",0.241038
"916",0.066085
"917",0.058061
"918",0.041263
"919",0.002546
"920",0.005358
"921",0.063192
"922",0.092073
"923",0.011401
"924",0.049456
"925",0.171783
"926",0.158186
"927",0.003408
"928",0.006776
"929",0.018604
"930",0.163118
"931",0.076376
"932",0.2553
"933",0.003031
"934",0.065206
"935",0.107827
"936",0.125251
"937",0.082346
"938",0.219714
"939",0.339872
"940",0.01151
"941",0.146146
"942",0.017201
"943",0.020618
"944",0.010952
"945",0.014219
"946",0.12603
"947",0.007699
"948",0.177914
"949",0.002837
"950",0.008462
"951",0.126201
"952",0.035563
"953",0.041547
"954",0.090002
"955",0.06324
"956",0.191152
"957",0.144229
"958",0.068887
"959",0.150652
"960",0.003771
"961",0.007941
"962",0.01846
"963",0.001597
"964",0.078709
"965",0.003176
"966",0.014384
"967",0.139285
"968",0.336706
"969",0.052662
"970",0.001274
"971",0.059214
"972",0.260072
"973",0.025111
"974",0.103142
"975",0.021573
"976",0.214122
"977",0.15637
"978",0.005926
"979",0.405704
"980",0.061424
"981",0.087951
"982",0.152969
"983",0.016808
"984",0.067956
"985",0.410005
"986",0.062974
"987",0.01416
"988",0.014125
"989",0.09406
"990",0.195194
"991",0.298511
"992",0.156551
"993",0.101247
"994",0.112656
"995",0.032298
"996",0.183098
"997",0.0163
"998",0.008985
"999",0.310686
"1000",0.00279
"1001",0.077712
"1002",0.174107
"1003",0.058154
"1004",0.018468
"1005",0.054963
"1006",0.014536
"1007",0.073703
"1008",0.359225
"1009",0.043365
"1010",0.007235
"1011",0.016886
"1012",0.023463
"1013",0.053141
"1014",0.26789
"1015",0.060749
"1016",0.005848
"1017",0.000152
"1018",0.069597
"1019",0.031705
"1020",0.145494
"1021",0.093912
"1022",0.049923
"1023",0.110584
"1024",0.060263
"1025",0.054531
"1026",0.059258
"1027",0.166729
"1028",0.024945
"1029",0.096926
"1030",0.004615
"1031",0.224564
"1032",0.120626
"1033",0.055205
"1034",0.10263
"1035",0.000692
"1036",0.013361
"1037",0.031772
"1038",0.033803
"1039",0.006731
"1040",0.03372
"1041",0.130173
"1042",0.019382
"1043",0.026031
"1044",0.021999
"1045",0.150867
"1046",0.254516
"1047",0.242852
"1048",0.115336
"1049",0.081501
"1050",0.000242
"1051",0.154324
"1052",0.017991
"1053",0.057606
"1054",0.077963
"1055",0.075288
"1056",0.041842
"1057",0.076802
"1058",0.213617
"1059",0.100256
"1060",0.277137
"1061",0.12469
"1062",0.12734
"1063",0.047343
"1064",0.108917
"1065",0.020111
"1066",0.028285
"1067",0.193667
"1068",0.154882
"1069",0.016329
"1070",0.136643
"1071",0.027429
"1072",0.048333
"1073",0.139774
"1074",0.037276
"1075",0.040531
"1076",0.129385
"1077",0.308556
"1078",0.085512
"1079",0.107669
"1080",0.019571
"1081",0.018597
"1082",0.040808
"1083",0.086181
"1084",0.024162
"1085",0.075491
"1086",0.253066
"1087",0.025047
"1088",0.05796
"1089",0.018193
"1090",0.164586
"1091",0.095183
"1092",0.021116
"1093",0.003592
"1094",0.153693
"1095",0.134835
"1096",0.026822
"1097",0.060753
"1098",0.022901
"1099",0.07287
"1100",0.13011
"1101",0.056192
"1102",0.149386
"1103",0.050049
"1104",0.32812
"1105",0.130638
"1106",0.05738
"1107",0.285765
"1108",0.128455
"1109",0.218254
"1110",0.125977
"1111",0.079983
"1112",0.269471
"1113",0.047274
"1114",0.112168
"1115",0.003607
"1116",0.032667
"1117",0.011213
"1118",0.043856
"1119",0.027517
"1120",0.050288
"1121",0.308483
"1122",0.083664
"1123",0.005647
"1124",0.008799
"1125",0.005329
"1126",0.002913
"1127",0.088552
"1128",0.087441
"1129",0.023447
"1130",0.048039
"1131",0.016719
"1132",0.308094
"1133",0.183583
"1134",0.027588
"1135",0.008633
"1136",0.099402
"1137",0.01541
"1138",0.103619
"1139",0.039402
"1140",0.038818
"1141",0.08531
"1142",0.008711
"1143",0.095114
"1144",0.01689
"1145",0.117669
"1146",0.350145
"1147",0.085272
"1148",0.004902
"1149",0.088098
"1150",0.157102
"1151",0.067413
"1152",0.057864
"1153",0.024911
"1154",0.055402
"1155",0.083506
"1156",0.002166
"1157",0.070431
"1158",0.15495
"1159",0.036331
"1160",0.306352
"1161",0.025115
"1162",0.07029
"1163",0.027162
"1164",0.099197
"1165",0.165348
"1166",0.112409
"1167",0.013667
"1168",0.09041
"1169",0.012457
"1170",0.127516
"1171",0.099845
"1172",0.015258
"1173",0.010712
"1174",0.03015
"1175",0.04482
"1176",0.037775
"1177",0.043304
"1178",0.019005
"1179",0.102494
"1180",0.051278
"1181",0.00907
"1182",0.006998
"1183",0.350881
"1184",0.080806
"1185",0.056561
"1186",0.011608
"1187",0.1344
"1188",0.012874
"1189",0.045191
"1190",0.118448
"1191",0.096226
"1192",0.029549
"1193",0.000653
"1194",0.265665
"1195",0.073528
"1196",0.059724
"1197",0.066113
"1198",0.004277
"1199",0.031108
"1200",0.116556
"1201",0.062456
"1202",0.038461
"1203",0.032921
"1204",0.103098
"1205",0.01181
"1206",0.015654
"1207",0.009791
"1208",0.055598
"1209",0.068475
"1210",0.027115
"1211",0.023606
"1212",0.019896
"1213",0.000957
"1214",0.038662
"1215",0.083364
"1216",0.01866
"1217",0.020651
"1218",0.030423
"1219",0.321648
"1220",0.025227
"1221",0.073042
"1222",0.022913
"1223",0.030453
"1224",0.068771
"1225",0.047434
"1226",0.036466
"1227",0.117027
"1228",0.047865
"1229",0.034195
"1230",0.149021
"1231",0.321955
"1232",0.042656
"1233",0.000591
"1234",0.033601
"1235",0.001415
"1236",0.002175
"1237",0.118581
"1238",0.065957
"1239",0.044825
"1240",0.03641
"1241",0.009686
"1242",0.110197
"1243",0.030967
"1244",0.231605
"1245",0.080316
"1246",0.084935
"1247",0.035619
"1248",0.167728
"1249",0.05777
"1250",0.187329
"1251",0.030606
"1252",0.071971
"1253",0.25164
"1254",0.007979
"1255",0.053428
"1256",0.232861
"1257",0.213542
"1258",0.09901
"1259",0.299149
"1260",0.031823
"1261",0.002452
"1262",0.005419
"1263",0.224345
"1264",0.020179
"1265",0.225736
"1266",0.000623
"1267",0.169061
"1268",0.035171
"1269",0.017748
"1270",0.371718
"1271",0.011309
"1272",0.065167
"1273",0.047217
"1274",0.349792
"1275",0.023196
"1276",0.545897
"1277",0.16049
"1278",0.135883
"1279",0.023657
"1280",0.018517
"1281",0.104479
"1282",0.06476
"1283",0.045201
"1284",0.011082
"1285",0.011542
"1286",0.018639
"1287",0.021562
"1288",0.031728
"1289",0.100257
"1290",0.059704
"1291",0.091281
"1292",0.024529
"1293",0.0576
"1294",0.027931
"1295",0.036207
"1296",0.018844
"1297",0.042524
"1298",0.121797
"1299",0.014989
"1300",0.029127
"1301",0.003883
"1302",0.005645
"1303",0.061726
"1304",0.12293
"1305",0.010734
"1306",0.013626
"1307",0.077385
"1308",0.10732
"1309",0.057487
"1310",0.036374
"1311",0.198658
"1312",0.077221
"1313",0.201015
"1314",0.000519
"1315",0.085416
"1316",0.068397
"1317",0.047326
"1318",0.024499
"1319",0.000884
"1320",0.007613
"1321",0.03325
"1322",0.010654
"1323",0.003264
"1324",0.158868
"1325",0.061289
"1326",0.002412
"1327",0.154054
"1328",0.003623
"1329",0.074235
"1330",0.036028
"1331",0.252487
"1332",0.052762
"1333",0.012579
"1334",0.065908
"1335",0.037226
"1336",0.054659
"1337",0.022181
"1338",0.064437
"1339",0.042716
"1340",0.060407
"1341",0.026416
"1342",0.011233
"1343",0.097614
"1344",0.033855
"1345",0.039403
"1346",0.064944
"1347",0.05733
"1348",0.108648
"1349",0.035711
"1350",0.055433
"1351",0.139021
"1352",0.077334
"1353",0.098612
"1354",0.150022
"1355",0.118719
"1356",0.10785
"1357",0.037389
"1358",0.00461
"1359",0.103264
"1360",0.019952
"1361",0.203069
"1362",0.201673
"1363",0.009408
"1364",0.019074
"1365",0.072744
"1366",0.00724
"1367",0.044957
"1368",0.171016
"1369",0.036623
"1370",0.089332
"1371",0.037741
"1372",0.008517
"1373",0.046608
"1374",0.102433
"1375",0.027802
"1376",0.279086
"1377",0.066019
"1378",0.000939
"1379",0.042211
"1380",0.076849
"1381",0.12627
"1382",0.016224
"1383",0.01612
"1384",0.235134
"1385",0.077265
"1386",0.041979
"1387",0.010045
"1388",0.007334
"1389",0.106559
"1390",0.224148
"1391",0.195404
"1392",0.058437
"1393",0.132292
"1394",0.016316
"1395",0.02814
"1396",0.158203
"1397",0.023548
"1398",0.152417
"1399",0.026032
"1400",0.048452
"1401",0.018697
"1402",0.20705
"1403",0.075848
"1404",0.02275
"1405",0.348237
"1406",0.168103
"1407",0.016196
"1408",0.036378
"1409",0.042584
"1410",0.017358
"1411",0.065652
"1412",0.105238
"1413",0.030063
"1414",0.324189
"1415",0.01915
"1416",0.084601
"1417",0.005612
"1418",0.055837
"1419",0.031351
"1420",0.147121
"1421",0.223178
"1422",0.025632
"1423",0.155108
"1424",0.01559
"1425",0.025045
"1426",0.254232
"1427",0.128155
"1428",0.007557
"1429",0.019121
"1430",0.210032
"1431",0.032458
"1432",0.013119
"1433",0.008433
"1434",0.091576
"1435",0.094622
"1436",0.188371
"1437",0.054425
"1438",0.044062
"1439",0.021698
"1440",0.052808
"1441",0.055869
"1442",0.058131
"1443",0.20575
"1444",0.29231
"1445",0.164882
"1446",0.086417
"1447",0.001405
"1448",0.00993
"1449",0.064064
"1450",0.040234
"1451",0.043156
"1452",0.000168
"1453",0.128534
"1454",0.149472
"1455",0.059861
"1456",0.03
"1457",0.014023
"1458",0.002064
"1459",0.207077
"1460",0.097742
"1461",0.020708
"1462",0.00105
"1463",0.038492
"1464",0.07238
"1465",0.053199
"1466",0.107824
"1467",0.00208
"1468",0.048865
"1469",0.055551
"1470",0.050952
"1471",0.014437
"1472",0.104943
"1473",0.27407
"1474",0.030397
"1475",0.145511
"1476",0.042913
"1477",0.405307
"1478",0.411331
"1479",0.014314
"1480",0.015536
"1481",0.20933
"1482",0.051433
"1483",0.12796
"1484",0.018293
"1485",0.045456
"1486",0.001584
"1487",0.075508
"1488",0.127043
"1489",0.017396
"1490",0.008392
"1491",0.125313
"1492",0.031504
"1493",0.01816
"1494",0.015235
"1495",0.266913
"1496",0.022063
"1497",0.03202
"1498",0.008552
"1499",0.078847
"1500",0.034377
"1501",0.01527
"1502",0.018356
"1503",0.024802
"1504",0.174251
"1505",0.047413
"1506",0.131333
"1507",0.140664
"1508",0.017312
"1509",0.132976
"1510",0.017542
"1511",0.007006
"1512",0.033713
"1513",0.117561
"1514",0.106225
"1515",0.090137
"1516",0.040308
"1517",0.329561
"1518",0.094976
"1519",0.037961
"1520",0.01745
"1521",0.094138
"1522",0.096557
"1523",0.011906
"1524",0.34169
"1525",0.019628
"1526",0.032576
"1527",0.02613
"1528",0.018835
"1529",0.141786
"1530",0.076646
"1531",0.004264
"1532",0.064428
"1533",0.042611
"1534",0.028862
"1535",0.031975
"1536",0.01294
"1537",0.088665
"1538",0.02391
"1539",0.001014
"1540",0.220728
"1541",0.212802
"1542",0.124625
"1543",0.175616
"1544",0.070319
"1545",0.032102
"1546",0.042697
"1547",0.045586
"1548",0.13548
"1549",0.006638
"1550",0.040891
"1551",0.10128
"1552",0.067489
"1553",0.029948
"1554",0.529474
"1555",0.052506
"1556",0.134626
"1557",0.113087
"1558",0.08475
"1559",0.069445
"1560",0.004386
"1561",0.106353
"1562",0.06432
"1563",0.063325
"1564",0.205993
"1565",0.019548
"1566",0.021884
"1567",0.097908
"1568",0.005093
"1569",0.076673
"1570",0.063203
"1571",0.016504
"1572",0.260368
"1573",0.483614
"1574",0.047705
"1575",0.011253
"1576",0.237817
"1577",0.061733
"1578",0.089093
"1579",0.035054
"1580",0.078879
"1581",0.169659
"1582",0.327692
"1583",0.292188
"1584",0.031735
"1585",0.053035
"1586",0.006035
"1587",0.055213
"1588",0.011272
"1589",0.005796
"1590",0.245554
"1591",0.699891
"1592",0.004006
"1593",0.177983
"1594",0.063082
"1595",0.075454
"1596",0.101784
"1597",0.042635
"1598",0.014146
"1599",0.086526
"1600",0.120547
"1601",0.096126
"1602",0.11958
"1603",0.009463
"1604",0.002005
"1605",0.005391
"1606",0.011777
"1607",0.019109
"1608",0.192052
"1609",0.044119
"1610",0.092091
"1611",0.104334
"1612",0.277628
"1613",0.156196
"1614",0.001015
"1615",0.008497
"1616",0.020954
"1617",0.042609
"1618",0.014128
"1619",0.075628
"1620",0.06039
"1621",0.015691
"1622",0.016933
"1623",0.079698
"1624",0.001156
"1625",0.320567
"1626",0.016607
"1627",0.132981
"1628",0.113921
"1629",0.02395
"1630",0.028261
"1631",0.104876
"1632",0.00373
"1633",0.089536
"1634",0.002107
"1635",0.005141
"1636",0.013862
"1637",0.028247
"1638",0.02212
"1639",0.207795
"1640",0.009932
"1641",0.150184
"1642",0.096593
"1643",0.045587
"1644",0.207316
"1645",0.02663
"1646",0.063879
"1647",0.187918
"1648",0.054605
"1649",0.011358
"1650",0.10917
"1651",0.005944
"1652",0.145462
"1653",0.041618
"1654",0.140262
"1655",0.056865
"1656",0.069609
"1657",0.002246
"1658",0.030133
"1659",0.038011
"1660",0.094558
"1661",0.018695
"1662",0.099096
"1663",0.077809
"1664",0.117112
"1665",0.061713
